***
***   Moller results 11/12/2008
***
* run    - run number
* time   - run start time
* Ebc    - Beam energy from HALLA:p
* Pbmeas - Beam polarization measured
* Pb5892  - Beam polarization corrected on 5892MeV
* Err    - Statistical error
* time - PM
*  time   run    Ebc     Pbmeas   Pb5892   Err
***    Target 5 cur=0.5uA
1  18.57  12877  5889.7  -75.56  -80.18  0.45  
2  19.02  12878  5889.5  -76.22  -81.26  0.50
3  19.08  12878  5889.8  -74.63  -79.04  0.61
4  19.12  12880  5889.9  -75.27  -79.47  0.61
***  Average             -75.52  -80.14  0.26
***  Chi2                  1.42    3.16
***    Target 4 cur=0.5uA
5  19.16  12881  5889.8  -73.93  -78.34  0.60
6  19.20  12882  5889.6  -74.39  -79.22  0.51
7  19.24  12883  5889.7  -74.15  -78.77  0.59
8  19.28  12884  5892.8  -74.00  -78.41  0.59
***  Average             -74.14  -78.73  0.28
***  Chi2                  0.14    0.55
***    Target 3 cur=0.5uA
9  19.32  12885  5890.15 -74.70  -78.38  0.54
10 19.35  12886  5890.1  -75.27  -79.06  0.52
11 19.38  12887  5889.95 -73.81  -77.91  0.53
12 19.41  12888  5889.7  -74.78  -79.40  0.51
***  Average             -74.65  -78.71  0.26
***  Chi2                  1.13    1.64
***    Target 2 cur=0.5uA
13 19.45  12889  5889.5  -75.21  -80.25  0.34 
14 19.48  12890  5889.5  -74.80  -79.84  0.38
15 19.50  12891  5889.7  -74.78  -79.40  0.34
16 19.53  12892  5889.8  -75.16  -79.57  0.34
***  Average             -75.00  -79.76  0.17
***  Chi2                  0.43    1.19
***    Target 2 cur=0.3uA
17 19.58  12893  5877.0  -75.04  -111.85  0.37
18 20.05  12894  5877.0  -75.24  -112.05  0.38 
19 20.08  12895  5877.0  -75.56  -112.37  0.41
20 20.12  12896  5877.0  -75.90  -112.70  0.40
***  Average             -75.46           0.19
***  Chi2                  1.03
***************************************************
*** Average for  targets 2,3,4,5 
***  Average               -74.89  -79.46  0.12     
***  Chi2                    1.58    2.93
*** Average for  targets 2,4,5 
***  Average               -74.94  -79.64  0.13
***  Chi2                    1.70    2.62
****************************************************
