***
***   Moller results 11/17/2008
***
* run    - run number
* time   - run start time
* Ebc    - Beam energy from HALLA:p
* Pbmeas - Beam polarization measured
* Pb5892  - Beam polarization corrected on 5892MeV
* Err    - Statistical error
* time - PM
*  time   run    Ebc     Pbmeas   Pb5892   Err
***    Target 5 cur=0.5uA Thr=150mV
1  16.37  12899  5889.9  -74.65  -78.85  0.78 
2  16.44  12900  5889.9  -75.49  -79.69  0.61
3  16.49  12901  5890.3  -78.34  -81.71  0.66
4  16.53  12902  5890.4  -77.72  -80.89  0.67
***  Average             -76.63  -80.36  0.34
***  Chi2                  6.43    3.26
***    Target 4 cur=0.5uA Thr=150mV
5  16.58  12903  5990.4  -75.84  -79.01  0.61 
6  17.02  12904  5890.2  -75.97  -79.55  0.53
7  17.08  12905  5890.3  -76.86  -80.23  0.54
8  17.12  12906  5890.7  -75.92  -78.48  0.61
***  Average             -76.18  -79.39  0.28
***  Chi2                  0.75    1.71
***    Target 3 cur=0.5uA Thr=150mV
9  17.17  12907  5890.3  -76.16  -79.53  0.49
10 17.21  12908  5889.7  -73.59  -78.21  0.58
11 17.24  12909  5889.3  -74.06  -79.53  0.57
12 17.29  12910  5889.1  -72.55  -78.45  0.52  
***  Average             -74.19  -78.96  0.27
***  Chi2                  9.08    1.66
***    Target 3 cur=0.5uA Thr=250mV
13 17.33  12911  5889.6  -72.75  -77.58  0.48     
14 17.38  12912  5889.4  -73.75  -79.00  0.54
15 17.42  12913  5888.8  -72.31  -79.86  0.58
16 17.45  12914  5888.8  -72.40  -78.95  0.58
***  Average             -72.82  -78.73  0.27
***  Chi2                  1.43    3.31
***    Target 5 cur=0.5uA Thr=250mV
17 17.49  12915  5888.8  -73.45  -80.00  0.48 
18 17.57  12916  5889.4  -76.02  -81.27  0.71
19 18.01  12917  5889.4  -74.49  -79.74  0.66
20 18.06  12918  5889.1  -74.76  -80.65  0.68
***  Average             -74.41  -80.31  0.30
***  Chi2                  3.14    1.08
***    Target 5 cur=0.5uA Thr=350mV
21 18.13  12919  5888.9  -75.55  -81.88  0.83  
22 18.17  12920  5888.9  -73.15  -79.48  0.84
23 18.20  12921  5889.1  -75.75  -81.65  0.85
24 18.24  12922  5889.5  -74.11  -79.15  0.81
***  Average             -74.63  -80.52  0.42
***  Chi2                  2.16    2.95
***    Target 5 cur=0.5uA Thr=150mV
25 18.30  12923  5889.2  -75.04  -80.72  0.66
26 18.34  12924  5889.0  -73.45  -79.56  0.68
27 18.38  12925  5888.7  -74.31  -81.07  0.59
28 18.44  12926  5888.9  -73.68  -80.01  0.56
***  Average             -74.10  -80.36  0.31
***  Chi2                  1.21    1.17
***    Target 5 cur=0.5uA Thr=150mV
29 18.52  12927  5889.1  -72.98  -78.88  0.67
30 18.56  12928  5889.0  -74.61  -80.72  0.69
31 19.00  12929  5888.7  -72.48  -79.24  0.69 
***  Average             -73.35  -79.60  0.39
***  Chi2                  2.62    2.03
***    Target 2 cur=0.5uA Thr=250mV
32 19.07  12930  5888.6  -73.08  -80.06  0.36 
33 19.10  12931  5888.7  -72.55  -79.31  0.37
34 19.14  12932  5888.7  -73.64  -80.40  0.46
35 19.16  12933  5888.7  -74.15  -80.91  0.45
***  Average             -73.25  -80.07  0.20
***  Chi2                  2.84    2.74
***************************************************
*** Average for  targets 2,3,4,5 
***  Average               -74.22  -79.75  0.10     
***  Chi2                    7.11    2.91
*** Average for  targets 2,4,5 
***  Average               -74.46  -80.06  0.11
***  Chi2                    6.88    2.05
****************************************************
