***
***   Moller results 12/08/2008
***
* run    - run number
* time   - run start time
* Ebc    - Beam energy from HALLA:p
* Pbmeas - Beam polarization measured
* Pb5892  - Beam polarization corrected on 5892MeV
* Err    - Statistical error
* time - PM
*  time   run    Ebc    Pbmeas  Pb5892   Err
***    Target 5 cur=0.65uA Thr=300mV
1  17.39  13001  5891.8  53.89  54.26  0.60  
2  17.46  13002  5891.9  54.14  54.51  0.56
3  17.51  13003  5892.0  54.37  54.37  0.64
4  17.55  13004  5892.0  53.85  53.85  0.61
***  Average             54.06  54.25  0.30
***  Chi2                 0.15   0.22
***    Target 4 cur=0.65uA 
5  18.01  13005  5892.0  53.64  53.64  0.70
6  18.07  13006  5891.9  54.47  54.65  0.47
7  18.14  13007  5891.8  54.18  54.55  0.47
8  18.19  13008  5891.8  54.37  54.74  0.59
***  Average             54.23  54.49  0.27
***  Chi2                 0.35   0.60
***    Target 2 cur=0.5uA 
9  19.07  13010  5891.8  53.62  53.99  0.26
10 19.12  13011  5891.8  54.08  54.45  0.22
11 19.19  13012  5891.8  54.09  54.46  0.25
12 19.25  13013  5892.0  53.95  53.95  0.31
***  Average             53.95  54.26  0.13
***  Chi2                 0.76   1.16
***************************************************
*** Average for all 2,4,5 
***  Average             54.01  54.30  0.11
***  Chi2                 0.43   0.60
*** Average for targets 4,5 
***  Average             54.16  54.39  0.20
***  Chi2                 0.24   0.40
***************************************************
