*** Spin Dance 01/13/2009
***
* run    - run number
* time   - run start time
* Ebc    - Beam energy from HALLA:p
* Pbmeas - Beam polarization measured
* Pb5892 - Beam polarization corrected on 5892MeV energy
* Err    - Statistical error
*
*  time   run    Ebc     Pbmeas  Pb5892   Err 
***    Wien filter = 30deg Target 5 cur=0.6uA
1  11.31  13055  5892.4  -80.90  -80.15  0.48 
2  11.38  13056  5892.2  -81.53  -81.15  0.49
3  11.44  13057  5892.35 -82.97  -82.32  0.50
4  11.55  13058  5892.4  -80.08  -79.33  0.49
***  Average             -81.35  -80.72  0.24
***  Chi2                  6.01    5.35
***   Wien filter = 30deg Target 5 cur=0.8uA
5  12.00  13059  5892.5  -81.32  -80.39  0.48
6  12.05  13060  5892.5  -80.14  -79.21  0.48     
***  Chi2                  2.92    3.02
***   Wien filter = 50deg Target 5 cur=0.8uA
7  12.30  13061  5892.6  -90.40  -89.86  0.47 
8  12.35  13062  5892.5  -89.99  -89.54  0.48
9  12.41  13063  5893.0  -90.72  -89.83  0.50
10 12.47  13064  5893.0  -90.93  -90.05  0.48
***  Average             -90.49  -89.82  0.24
***  Chi2                  0.79    0.19
***   Wien filter = 70deg Target 5 cur=0.8uA
11 12.57  13065  5893.7  -87.75  -88.12  0.48  
12 13.02  13066  5893.0  -87.99  -88.17  0.48 
13 13.07  13067  5893.3  -88.14  -88.40  0.48 
14 13.13  13068  5892.7  -88.23  -88.60  0.48 
***  Average             -88.03  -88.32  0.21 
***  Chi2                  0.21    0.10
***   Wien filter = -30deg Target 5 cur=0.8uA
15 13.28  13070  5893.65 -10.34   -5.10  0.47  
16 13.35  13071  5894.0  -11.39   -5.25  0.49
17 13.39  13072  5893.1   -7.77   -4.3   0.47
18 13.46  13073  5892.9   -7.86   -5.08  0.49
***  Average              -9.33   -4.94  0.24
***  Chi2                 14.10    0.54
***   Wien filter = 54deg Target 5 cur=0.8uA
19 14.09  13074  5892.65 -90.98  -90.53  0.49
20 14.14  13075  5892.8  -89.46  -88.91  0.47
21 14.18  13076  5892.55 -91.74  -91.36  0.51
22 14.26  13077  5892.5  -90.66  -90.31  0.48
***  Average             -90.67  -90.23  0.24   
***  Chi2                  3.78    4.40
***   Wien filter = 54deg Target 4 cur=0.8uA
23 14.33  13079  5892.6  -90.84  -90.42  0.43
24 14.39  13080  5892.6  -89.62  -89.20  0.44
25 14.46  13081  5892.35 -89.83  -89.58  0.44
26 14.52  13082  5892.55 -89.45  -89.07  0.46
***  Average             -89.96  -89.59  0.22        
***  Chi2                  2.03    1.93
***   Wien filter = 54deg Target 3 cur=0.5uA
27 14.59  13083  5893.5  -88.11  -87.13  0.41
28 15.05  13084  5893.6  -89.21  -88.17  0.41
29 15.10  13085  5893.3  -88.86  -88.12  0.40
30 15.17  13086  5893.4  -89.57  -88.64  0.42
***  Average             -88.93  -88.01  0.21        
***  Chi2                  2.26    2.36
***   Wien filter = 54deg Target 2 cur=0.5uA
31 15.24  13087  5893.8  -90.57  -89.43  0.30
32 15.28  13088  5892.9  -91.08  -90.47  0.38
33 15.31  13089  5893.1  -91.56  -90.82  0.37
34 15.33  13090  5893.25 -91.03  -90.20  0.70
***  Average             -91.00  -90.07  0.19        
***  Chi2                  1.34    3.06
***   Wien filter = 30deg Target 5 cur=0.8uA
35 15.56  13091  5893.05 -82.67  -80.74  0.49
36 16.07  13092  5893.1  -81.94  -79.92  0.46
37 16.13  13093  5893.1  -81.73  -79.71  0.45
38 16.18  13094  5893.2  -81.46  -79.26  0.47
***  Average             -81.93  -79.89  0.23        
***  Chi2                  1.19    1.66    1.42
*******************************************************
***   Wien filter = 54deg Target 5,4 
*** Average              -90.28  -89.88  0.12 
*** Chi2                   3.17    3.25    2.96
***   Wien filter = 30deg Target 5 
*** Average              -81.47  -80.19  0.15         
*** Chi2                   3.74    4.00    2.90 
*** Best fit for targets 4,5 at Wien filter = 30deg
***                      -81.12  -79.88  0.15             
*******************************************************
