***
***   Moller results 02/03/2009
***
* run    - run number
* time   - run start time
* Ebc    - Beam energy from HALLA:p
* Pbmeas - Beam polarization measured
* Pb5892  - Beam polarization corrected on 5892MeV
* Err    - Statistical error
*
*time      run    Ebc    Pbmeas   Pb5892   Err
***    Target 5 cur=0.8uA
1  18.08  13117  5890.5  -76.24  -79.20  0.45
2  18.13  13118  5890.0  -75.12  -79.11  0.45
3  18.18  13119  5889.8  -75.18  -79.59  0.45
4  18.23  13120  5890.0  -75.42  -79.41  0.47
***  Average             -75.49  -79.33  0.23                               
***  Chi2                  1.31    0.23
***    Target 4 cur=0.8uA   
5  18.29  13121  5890.3  -75.59  -78.96  0.42
6  18.35  13122  5890.9  -76.43  -78.59  0.43
7  18.40  13123  5890.8  -76.67  -79.03  0.42
8  18.45  13124  5890.4  -75.91  -79.08  0.42
***  Average             -76.15  -78.92  0.21      
***  Chi2                  1.34    0.27
***    Target 2 cur=0.4uA   
9  18.53  13125  5892.4  -75.93  -75.17  0.37
10 18.57  13126  5892.4  -75.23  -74.47  0.37
11 19.01  13127  5892.2  -75.45  -75.07  0.37
12 19.04  13128  5893.7  -75.75  -74.43  0.37
***  Average             -75.59  -75.02  0.19
***  Chi2                  0.7     0.75
***************************************************
*** Average for  targets 4 and 5 
***  Average             -75.84  -79.11  0.16                   
***  Chi2                 1.78    0.46
****************************************************
