*** Spin Dance 02/11/2009
***
***
* run    - run number
* time   - run start time
* Ebc    - Beam energy from HALLA:p
* Pbmeas - Beam polarization measured
* Pb5892 - Beam polarization corrected on 5892MeV energy
* Err    - Statistical error
*
*   time   run    Ebc    Pbmeas  Pb5892   Err 
***   Wien filter = 30deg Target 5 cur=0.8uA
1  16.35  13174  5892.55  81.77  80.73  0.32
2  16.45  13175  5892.45  81.27  80.42  0.32
***  Average              81.52  80.58  0.23 
***  Chi2                  1.2    0.5   
***   Wien filter = 30deg Target 4 cur=0.9uA
3  17.30  13176  5892.65 81.83  80.60  0.30
4  17.40  13177  5892.3  80.86  80.29  0.30
5  17.58  13178  5892.0  81.03  81.03  0.30
6  18.11  13179  5891.9  80.59  80.78  0.30
***  Average             81.08  80.68  0.15
***  Chi2                 3.2    1.1    
***   Wien filter = 30deg Target 5 and 4
***  Average             81.21  80.64  80.78
***  Chi2                 2.7    0.8   
***   Wien filter = 20deg Target 5 cur=0.8uA
7  19.11  13180  5892.3  72.84  72.15  0.31
8  19.22  13181  5892.3  72.34  71.65  0.32
***  Average             72.59  71.91  0.22
***  Chi2                  1.3    1.2 
***   Wien filter = 20deg Target 4 cur=0.8uA
9  19.33  13182  5891.7  71.38  72.08  0.32
10 19.42  13183  5891.0  69.84  72.19  0.30
11 19.51  13184  5891.1  70.11  72.22  0.32
12 20.03  13185  5891.4  71.45  72.85  0.32
***  Average             70.46  72.33  0.15
***  Chi2                13.9    1.2    
***   Wien filter = 20deg Target 5 and 4
***  Average             71.32  72.19  0.12
***  Chi2                13.7    1.5  
***   Wien filter = 23deg Target 5 cur=0.8uA
13 20.25  13186  5891.5  72.23  73.34  0.32
14 20.35  13187  5891.25 73.24  74.91  0.32
***  Average             72.73  74.13  0.22 
***  Chi2                 5.0   12.0    
***   Wien filter = 23deg Target 4 cur=0.8uA
15 20.45  13189  5891.15 73.17  75.07  0.30
16 20.55  13190  5891.4  73.92  74.58  0.30
***  Average             73.54  74.82  0.21
***  Chi2                 3.2    1.3    
***   Wien filter = 23deg Target 5 and  4
***  Average             73.34  74.50  0.15
***  Chi2                 5.0    6.2  
*************************************************************
